,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Track 9,Track 10,Track 11,Track 12,Track 13,Track 14,Track 15,Track 16,Track 17,Track 18,Track 19,Track 20,Track21,Track 22,Track 23,Track 24,Track 25,SpecLabel ,GenLabel
1210,1420000,491000,0,0,1.02E-17,0,0.00939,130000,1240,134,278,0,0.606,0,87.1,0.000668,95.8,1,0,0,0,17.9,0.735,4,0,0,0
1220,14800000,515000,8210,0.0563,1.11E-17,0,0.00143,138000,198,57.8,0,0,0.0904,0,581,0.0042,3.31,1,0,0.0109,191,102,0.024,4,0,0,0
1230,7140000,514000,1050,0.00837,0,1,0.00975,124000,1220,17.6,43.6,0,0,0,0,0,200,0,0,0,0,151,1.61,4,2,0,0
1240,1300000,471000,5750,0.0497,1.1E-17,0,0.0129,110000,1440,27.1,13,0,0.0309,0,850,0.00767,0,1,0,0,0,19,0,4,0,0,0
1250,5830000,596000,4840,0.0308,8.87E-18,1,0.00711,152000,1090,45.5,0,147,0.0472,0,919,0.00599,244,1,0.975,0.011,190,14.1,1.6,4,0,0,0
1260,11500000,450000,0,0,0,0,0.0141,89300,1270,127,0,3170,0.157,0,683,0.00759,127,0.984,0.48,0,214,166,1.42,4,0,0,0
1270,2390000,557000,0,0,9.23E-18,1,0.0117,110000,1310,15.3,0,0,0.0237,0,628,0.00568,0,1,0,0.015,41,89.8,0,4,0,0,0
1280,1570000,522000,0,0,9.34E-18,0,0.00993,113000,1130,58.1,0,0,0.0443,0,1250,0.011,0,0.999,0,0,1230,352,0,4,0,0,0
1290,1330000,486000,0,0,1.05E-17,2,0.0142,87300,1260,75.1,10.2,1750,0.0789,0.0339,877,0.00995,178,0.841,0.702,0.0221,0,32,2.03,4,0,0,0
1300,1110000,380000,2370,0.0199,1.2E-17,0,0.00667,117000,782,44.5,33.3,0,0.0693,0,598,0.00511,211,1,0,0,683,12.9,1.81,4,0,0,0
1310,20600000,501000,0,0,6.55E-05,0,0,95800,0,41.6,284,0,0.056,0,702,0.00727,160,1,0,0.0687,0,128,1.66,4,0,0,0
1320,4120000,1990000,0,0,0,0,0.0148,185000,2780,189,33.7,0,0.072,0,2440,0.013,15,0.971,0,0,0,180,0.0809,4,1.23,0,1
1330,4060000,1950000,8400,0.0414,4.59E-05,0,0.0159,194000,3150,435,0,0,0.163,0,2230,0.0114,0,0.735,0,0,0,225,0,4,1.05,0,1
1340,57400000,2240000,0,0,0,1,0.0164,291000,4850,308,196,112,0.0672,0.915,4270,0.0144,102,0,0.956,0.0102,16.8,198,0.35,4,6.97,0,1
1350,6920000,2060000,98300,0.352,0,3,0.0191,181000,3520,809,0,0,0.252,0,2410,0.0132,117,0.62,0,0.0279,1040,341,0.65,4,1.14,0,1
1360,8780000,2060000,9780,0.0556,0,2,0.0158,166000,2670,341,146,1500,0.18,0.374,1550,0.00927,185,0.572,0.747,0.00782,0,240,1.11,4,1.35,0,1
1365,45100000,1990000,0,0,0,0,0.0183,187000,3490,143,166,0,0.0625,0,2140,0.0113,0,0.834,0,0,0,110,0,4,1.31,0,1
1370,20500000,1900000,1690,0.00953,0,0,0.0167,176000,2980,127,102,658,0.0459,0.489,2630,0.0148,0,0.606,0,0.00261,0,190,0,4,1.26,0,1
1380,4310000,2110000,2720,0.0146,0,1,0.0193,184000,3630,276,178,0,0.127,0,1910,0.0103,20.5,0.809,0,0,612,280,0.112,4,1.15,0,1
1390,40200000,1840000,4200,0.0193,0,2,0.0147,214000,3190,137,0,4170,0.0551,0,2350,0.0109,0,0.612,0,0.0364,0,129,0,9,1.65,0,1
1400,4600000,1760000,3460,0.0152,0,1,0.0154,225000,3520,190,191,0,0.104,0,1650,0.00727,333,0.704,0,0.00901,0,375,1.48,4,1.16,0,1
1410,79600000,2190000,4120,0.0152,3.92E-18,1,0.0152,268000,4130,161,258,0,0.0793,0,1870,0.00692,126,0.634,0,0,0,164,0.47,4,3.67,0,1
