,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Track 9,Track 10,Track 11,Track 12,Track 13,Track 14,Track 15,Track 16,Track 17,Track 18,Track 19,Track 20,Track21,Track 22,Track 23,Track 24,Track 25,SpecLabel,GenLabel
807.7,2500000,792000,0,0,0,2,0.0232,49600,1180,190,180,126,0.00736,0.731,25700,0.341,235,0.669,0.957,0.00154,150,63.5,4.72,4,0.841,0,0
823,2580000,936000,0,0,0,3,0.0196,49100,982,159,70,14.8,0.0204,0.9,7640,0.135,120,0.643,0.99,0.00296,347,0,2.43,4,0.75,0,0
838.2,2290000,746000,0,0,1.44E-18,1,0.0172,55600,970,109,199,251,0.011,0.601,9750,0.149,194,0.658,0.902,0.00153,191,105,3.48,4,5.07,0,0
853.4,2670000,903000,4250,0.0814,1.41E-18,2,0.0235,47900,1150,163,145,58.1,0.0124,0.826,13000,0.214,128,0.661,0.963,0.00109,135,5.57,2.67,4,2.72,0,0
868.7,2980000,792000,0,0,1.45E-18,0,0.0181,55200,1020,168,107,123,0.0223,0.624,7360,0.118,189,0.642,0.948,0.00269,0,38.6,3.41,4,1.78,0,0
883.9,4370000,900000,2320,0.0169,1.08E-18,4,0.0101,135000,1380,258,118,174,0.0149,0.565,17000,0.112,233,0.661,0.941,0.00139,0,209,1.72,4,2.94,0,0
899.2,3850000,697000,6280,0.0883,1.49E-18,3,0.0226,64900,1500,118,105,0,0.00786,0,14900,0.187,208,0.641,0,0.00185,433,0,3.19,4,1.91,0,0
914.4,2060000,684000,888,0.0216,3.09E-18,1,0.0232,40200,953,171,201,99.2,0.016,0.796,10500,0.207,141,0.646,0.944,0.00227,0,1.59,3.49,4,3.82,0,0
929.6,2260000,735000,0,0,2.87E-18,3,0.0258,42600,1130,119,231,105,0.00723,0.81,16300,0.277,264,0.666,0.968,0.00114,25.4,99.3,6.16,4,2.13,0,0
944.9,1670000,531000,0,0,3.27E-18,0,0.0211,42500,917,57.7,175,43,0.00427,0.887,13500,0.241,27.7,0.66,0.885,0.002,23.4,0,0.651,4,1.66,0,0
960.1,2170000,696000,66.6,0.00121,0,3,0.0256,54800,1440,162,96.4,126,0.00943,0.596,17000,0.236,209,0.672,0.952,0.00117,0,0,3.8,4,2.8,0,0
975.4,2820000,912000,0,0,2.36E-18,0,0.0355,57300,2110,226,267,394,0.00816,0.567,27500,0.324,165,0.667,0.834,0.00134,338,138,2.87,4,1.53,0,0
990.6,2270000,1060000,456,0.00816,2.5E-18,0,0.0228,55400,1290,91.4,159,150,0.00709,0.671,12800,0.188,274,0.67,0.956,0.000311,187,0,4.93,4,3.03,0,0
1005.8,3100000,965000,0,0,8.77E-06,0,0.0131,147000,1950,190,214,105,0.0122,0.798,15400,0.095,196,0.656,0.957,0.00158,190,56.3,1.33,4,1.66,0,0
1021.1,6780000,979000,0,0,7.99E-05,0,0.0321,155000,5140,423,312,58.5,0.00214,0.912,197000,0.559,461,0.735,0.99,0.000622,390,162,2.96,10,0.859,0,0
1036.3,2890000,716000,4580,0.0374,3.05E-18,0,0.0149,118000,1790,145,45.3,0,0.00693,0,20800,0.15,218,0.636,0,0.00231,0,0,1.84,4,0.836,0,0
1051.6,3400000,1230000,0,0,2.47E-18,0,0.0191,132000,2560,235,175,118,0.00842,0.745,27700,0.174,159,0.684,0.942,0.00206,279,148,1.2,4,0.809,0,0
1066.8,3270000,1060000,0,0,3.49E-05,0,0.0195,137000,2720,317,346,225,0.00784,0.75,40200,0.227,226,0.685,0.924,0.000873,290,0,1.65,5,0.651,0,0
1097.3,2160000,839000,0,0,2.62E-18,0,0.0273,44500,1250,148,247,54.3,0.00812,0.899,18100,0.289,229,0.653,0.981,0.00153,73,50.4,5.12,4,2.91,0,0
