,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Track 9,Track 10,Track 11,Track 12,Track 13,Track 14,Track 15,Track 16,Track 17,Track 18,Track 19,Track 20,Track21,Track 22,Track 23,Track 24,Track 25,SpecLabel,GenLabel
3500,6040000,1560000,0,0,1.28E-18,2,0.0124,403000,5050,357,133,753,0.106,0.478,3020,0.00744,4.89,0.755,0.106,0.0132,0,467,0.0121,9,3.93,1,1
3505,3220000,1280000,0,0,7.5E-06,0,0.0129,186000,2430,215,89.7,423,0.162,0.525,1110,0.00592,208,0.404,0.9,0.0241,143,284,1.12,4,0,0,1
3510,8560000,1140000,0,0,1.34E-18,0,0.0117,176000,2080,260,0,234,0.132,0,1710,0.00963,0.733,0.767,0.0545,0.0293,160,126,0.00416,4,0,0,1
3515,3000000,1210000,0,0,0,0,0.0172,147000,2580,167,1.6,1150,0.134,0.00722,1080,0.0073,58.9,0.704,0.487,0.0401,66.6,219,0.4,4,1.06,0,1
3520,7620000,1180000,0,0,1.32E-18,0,0.0139,167000,2360,62.4,0,1630,0.0355,0,1700,0.0101,58.1,0.706,0.397,0,0,305,0.349,4,28.9,0,1
3525,24500000,1380000,134000,0.527,5.63E-05,5,0.0233,120000,2860,199,132,0,0.0968,0,1860,0.0152,0,0.732,0,0,1020,230,0,4,2.21,0,1
3530,4080000,1240000,171,0.000813,1.32E-18,1,0.0135,210000,2870,232,0,569,0.174,0,1110,0.00524,0,0.517,0,0,944,346,0,4,49.5,0,1
3535,2970000,1220000,0,0,1.33E-18,0,0.0145,157000,2300,215,122,0,0.185,0,946,0.006,0,0.855,0,0,67.1,218,0,4,7.83,0,1
3540,3190000,1340000,0,0,9.99E-06,0,0.0184,180000,3370,226,112,735,0.192,0.446,948,0.00523,0,0.612,0,0,0,255,0,4,0,0,1
3545,3170000,1220000,0,0,7.7E-06,1,0.0148,209000,3140,189,59.9,0,0.3,0,440,0.0021,46.1,0,0,0,0,332,0.221,4,1.62,0,1
3550,3310000,1340000,0,0,1.98E-18,0,0.0146,202000,2990,78.6,171,27.2,0.0485,0.971,1540,0.00757,0,0.696,0,0.0928,0,235,0,4,11.9,0,1
3555,3020000,1270000,1620,0.00909,2.11E-18,0,0.0179,177000,3220,209,199,1860,0.242,0.363,654,0.00369,82.6,0.978,0.457,0,0,120,0.468,4,0,0,1
3560,31100000,1390000,155000,0.45,9.61E-05,4,0.0185,189000,3570,283,178,3300,0.14,0.223,1740,0.00912,165,0.777,0.486,0.0124,851,369,0.871,9,4.61,0,1
3565,3050000,1250000,0,0,2.13E-06,0,0.0133,214000,2880,162,121,0,0.132,0,1070,0.00496,0,0.919,0,0.0138,302,347,0,4,15.3,0,1
3570,5070000,1200000,0,0,2.05E-18,0,0.0159,214000,3450,0,16.7,0,0,0,620,0.00289,0,0.553,0,0.0237,82.8,94.3,0,4,0,0,1
